"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"1023","c50","H1N2_T","H3N1_T","H2N4_T","H4N3_T","P(c50 | G=T)=1/576","H1N2_T, H3N1_T, H2N4_T, H4N3_T",878
"513","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",879
"619","c333","H3N2_T","H1N4_T","H2N1_T","H4N3_T","P(c333 | G=T)=1/576","H3N2_T, H1N4_T, H2N1_T, H4N3_T",880
"778","c396","H3N3_T","H4N4_T","H2N2_T","H1N1_T","P(c396 | G=T)=1/576","H3N3_T, H4N4_T, H2N2_T, H1N1_T",881
"122","c145","H2N1_T","H1N2_T","H3N3_T","H4N4_T","P(c145 | G=T)=1/576","H2N1_T, H1N2_T, H3N3_T, H4N4_T",882
"421","c257","H2N4_T","H1N2_T","H3N1_T","H4N3_T","P(c257 | G=T)=1/576","H2N4_T, H1N2_T, H3N1_T, H4N3_T",883
"557","c312","H3N1_T","H2N4_T","H4N3_T","H1N2_T","P(c312 | G=T)=1/576","H3N1_T, H2N4_T, H4N3_T, H1N2_T",884
"604","c328","H3N2_T","H1N1_T","H4N4_T","H2N3_T","P(c328 | G=T)=1/576","H3N2_T, H1N1_T, H4N4_T, H2N3_T",885
"1105","c536","H4N3_T","H3N2_T","H2N4_T","H1N1_T","P(c536 | G=T)=1/576","H4N3_T, H3N2_T, H2N4_T, H1N1_T",886
"7","c100","H1N3_T","H4N1_T","H3N4_T","H2N2_T","P(c100 | G=T)=1/576","H1N3_T, H4N1_T, H3N4_T, H2N2_T",887
"355","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",888
"1195","c57","H1N2_T","H3N4_T","H2N1_T","H4N3_T","P(c57 | G=T)=1/576","H1N2_T, H3N4_T, H2N1_T, H4N3_T",889
"1299","c9","H1N1_T","H2N4_T","H3N2_T","H4N3_T","P(c9 | G=T)=1/576","H1N1_T, H2N4_T, H3N2_T, H4N3_T",890
"1084","c531","H4N3_T","H3N1_T","H2N2_T","H1N4_T","P(c531 | G=T)=1/576","H4N3_T, H3N1_T, H2N2_T, H1N4_T",891
"855","c430","H3N4_T","H4N3_T","H1N2_T","H2N1_T","P(c430 | G=T)=1/576","H3N4_T, H4N3_T, H1N2_T, H2N1_T",892
"652","c349","H3N2_T","H4N1_T","H1N3_T","H2N4_T","P(c349 | G=T)=1/576","H3N2_T, H4N1_T, H1N3_T, H2N4_T",893
"325","c218","H2N3_T","H1N1_T","H3N4_T","H4N2_T","P(c218 | G=T)=1/576","H2N3_T, H1N1_T, H3N4_T, H4N2_T",894
"274","c197","H2N2_T","H3N3_T","H1N1_T","H4N4_T","P(c197 | G=T)=1/576","H2N2_T, H3N3_T, H1N1_T, H4N4_T",895
"248","c189","H2N2_T","H1N4_T","H3N1_T","H4N3_T","P(c189 | G=T)=1/576","H2N2_T, H1N4_T, H3N1_T, H4N3_T",896
"693","c362","H3N3_T","H1N1_T","H2N4_T","H4N2_T","P(c362 | G=T)=1/576","H3N3_T, H1N1_T, H2N4_T, H4N2_T",897
"699","c365","H3N3_T","H1N2_T","H2N1_T","H4N4_T","P(c365 | G=T)=1/576","H3N3_T, H1N2_T, H2N1_T, H4N4_T",898
"1177","c565","H4N4_T","H3N1_T","H1N2_T","H2N3_T","P(c565 | G=T)=1/576","H4N4_T, H3N1_T, H1N2_T, H2N3_T",899
"1027","c501","H4N2_T","H3N4_T","H1N1_T","H2N3_T","P(c501 | G=T)=1/576","H4N2_T, H3N4_T, H1N1_T, H2N3_T",900
"718","c370","H3N3_T","H1N4_T","H2N2_T","H4N1_T","P(c370 | G=T)=1/576","H3N3_T, H1N4_T, H2N2_T, H4N1_T",901
"373","c236","H2N3_T","H3N2_T","H4N4_T","H1N1_T","P(c236 | G=T)=1/576","H2N3_T, H3N2_T, H4N4_T, H1N1_T",902
"1085","c531","H4N3_T","H3N1_T","H2N2_T","H1N4_T","P(c531 | G=T)=1/576","H4N3_T, H3N1_T, H2N2_T, H1N4_T",903
"426","c261","H2N4_T","H1N3_T","H3N1_T","H4N2_T","P(c261 | G=T)=1/576","H2N4_T, H1N3_T, H3N1_T, H4N2_T",904
"1073","c527","H4N3_T","H2N4_T","H3N1_T","H1N2_T","P(c527 | G=T)=1/576","H4N3_T, H2N4_T, H3N1_T, H1N2_T",905
"171","c16","H1N1_T","H3N2_T","H4N4_T","H2N3_T","P(c16 | G=T)=1/576","H1N1_T, H3N2_T, H4N4_T, H2N3_T",906
"271","c197","H2N2_T","H3N3_T","H1N1_T","H4N4_T","P(c197 | G=T)=1/576","H2N2_T, H3N3_T, H1N1_T, H4N4_T",907
"129","c148","H2N1_T","H1N2_T","H4N4_T","H3N3_T","P(c148 | G=T)=1/576","H2N1_T, H1N2_T, H4N4_T, H3N3_T",908
"900","c448","H4N1_T","H2N2_T","H3N4_T","H1N3_T","P(c448 | G=T)=1/576","H4N1_T, H2N2_T, H3N4_T, H1N3_T",909
"195","c171","H2N1_T","H4N2_T","H3N3_T","H1N4_T","P(c171 | G=T)=1/576","H2N1_T, H4N2_T, H3N3_T, H1N4_T",910
"133","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",911
"452","c272","H2N4_T","H3N2_T","H4N3_T","H1N1_T","P(c272 | G=T)=1/576","H2N4_T, H3N2_T, H4N3_T, H1N1_T",912
"812","c41","H1N2_T","H2N3_T","H3N1_T","H4N4_T","P(c41 | G=T)=1/576","H1N2_T, H2N3_T, H3N1_T, H4N4_T",913
"89","c131","H1N4_T","H3N3_T","H4N1_T","H2N2_T","P(c131 | G=T)=1/576","H1N4_T, H3N3_T, H4N1_T, H2N2_T",914
"1241","c67","H1N2_T","H4N3_T","H3N1_T","H2N4_T","P(c67 | G=T)=1/576","H1N2_T, H4N3_T, H3N1_T, H2N4_T",915
"949","c47","H1N2_T","H2N4_T","H4N1_T","H3N3_T","P(c47 | G=T)=1/576","H1N2_T, H2N4_T, H4N1_T, H3N3_T",916
"413","c254","H2N4_T","H1N1_T","H3N3_T","H4N2_T","P(c254 | G=T)=1/576","H2N4_T, H1N1_T, H3N3_T, H4N2_T",917
"1180","c566","H4N4_T","H3N1_T","H1N3_T","H2N2_T","P(c566 | G=T)=1/576","H4N4_T, H3N1_T, H1N3_T, H2N2_T",918
"1158","c556","H4N4_T","H2N1_T","H3N3_T","H1N2_T","P(c556 | G=T)=1/576","H4N4_T, H2N1_T, H3N3_T, H1N2_T",919
"927","c460","H4N1_T","H3N2_T","H2N4_T","H1N3_T","P(c460 | G=T)=1/576","H4N1_T, H3N2_T, H2N4_T, H1N3_T",920
"559","c313","H3N1_T","H4N2_T","H1N3_T","H2N4_T","P(c313 | G=T)=1/576","H3N1_T, H4N2_T, H1N3_T, H2N4_T",921
"430","c263","H2N4_T","H1N3_T","H4N1_T","H3N2_T","P(c263 | G=T)=1/576","H2N4_T, H1N3_T, H4N1_T, H3N2_T",922
"68","c122","H1N4_T","H3N1_T","H2N3_T","H4N2_T","P(c122 | G=T)=1/576","H1N4_T, H3N1_T, H2N3_T, H4N2_T",923
"95","c133","H1N4_T","H4N1_T","H2N2_T","H3N3_T","P(c133 | G=T)=1/576","H1N4_T, H4N1_T, H2N2_T, H3N3_T",924
"634","c341","H3N2_T","H2N3_T","H1N1_T","H4N4_T","P(c341 | G=T)=1/576","H3N2_T, H2N3_T, H1N1_T, H4N4_T",925
"130","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",926
"869","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",927
"572","c318","H3N1_T","H4N3_T","H1N4_T","H2N2_T","P(c318 | G=T)=1/576","H3N1_T, H4N3_T, H1N4_T, H2N2_T",928
"1194","c57","H1N2_T","H3N4_T","H2N1_T","H4N3_T","P(c57 | G=T)=1/576","H1N2_T, H3N4_T, H2N1_T, H4N3_T",929
"1295","c87","H1N3_T","H3N1_T","H4N2_T","H2N4_T","P(c87 | G=T)=1/576","H1N3_T, H3N1_T, H4N2_T, H2N4_T",930
"1292","c84","H1N3_T","H2N4_T","H4N2_T","H3N1_T","P(c84 | G=T)=1/576","H1N3_T, H2N4_T, H4N2_T, H3N1_T",931
"1201","c571","H4N4_T","H3N2_T","H2N1_T","H1N3_T","P(c571 | G=T)=1/576","H4N4_T, H3N2_T, H2N1_T, H1N3_T",932
"167","c16","H1N1_T","H3N2_T","H4N4_T","H2N3_T","P(c16 | G=T)=1/576","H1N1_T, H3N2_T, H4N4_T, H2N3_T",933
"657","c350","H3N2_T","H4N1_T","H1N4_T","H2N3_T","P(c350 | G=T)=1/576","H3N2_T, H4N1_T, H1N4_T, H2N3_T",934
"1219","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",935
"519","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",936
"24","c108","H1N3_T","H4N4_T","H3N2_T","H2N1_T","P(c108 | G=T)=1/576","H1N3_T, H4N4_T, H3N2_T, H2N1_T",937
"512","c293","H3N1_T","H1N3_T","H2N2_T","H4N4_T","P(c293 | G=T)=1/576","H3N1_T, H1N3_T, H2N2_T, H4N4_T",938
"331","c222","H2N3_T","H1N2_T","H3N4_T","H4N1_T","P(c222 | G=T)=1/576","H2N3_T, H1N2_T, H3N4_T, H4N1_T",939
"633","c340","H3N2_T","H2N1_T","H4N4_T","H1N3_T","P(c340 | G=T)=1/576","H3N2_T, H2N1_T, H4N4_T, H1N3_T",940
"1089","c531","H4N3_T","H3N1_T","H2N2_T","H1N4_T","P(c531 | G=T)=1/576","H4N3_T, H3N1_T, H2N2_T, H1N4_T",941
"627","c337","H3N2_T","H2N1_T","H1N3_T","H4N4_T","P(c337 | G=T)=1/576","H3N2_T, H2N1_T, H1N3_T, H4N4_T",942
"948","c469","H4N2_T","H1N1_T","H2N3_T","H3N4_T","P(c469 | G=T)=1/576","H4N2_T, H1N1_T, H2N3_T, H3N4_T",943
"890","c443","H4N1_T","H1N4_T","H3N2_T","H2N3_T","P(c443 | G=T)=1/576","H4N1_T, H1N4_T, H3N2_T, H2N3_T",944
"659","c350","H3N2_T","H4N1_T","H1N4_T","H2N3_T","P(c350 | G=T)=1/576","H3N2_T, H4N1_T, H1N4_T, H2N3_T",945
"551","c308","H3N1_T","H2N3_T","H4N4_T","H1N2_T","P(c308 | G=T)=1/576","H3N1_T, H2N3_T, H4N4_T, H1N2_T",946
"184","c165","H2N1_T","H3N4_T","H1N2_T","H4N3_T","P(c165 | G=T)=1/576","H2N1_T, H3N4_T, H1N2_T, H4N3_T",947
"1258","c72","H1N2_T","H4N4_T","H3N3_T","H2N1_T","P(c72 | G=T)=1/576","H1N2_T, H4N4_T, H3N3_T, H2N1_T",948
"469","c279","H2N4_T","H4N1_T","H3N2_T","H1N3_T","P(c279 | G=T)=1/576","H2N4_T, H4N1_T, H3N2_T, H1N3_T",949
"310","c212","H2N2_T","H4N3_T","H3N4_T","H1N1_T","P(c212 | G=T)=1/576","H2N2_T, H4N3_T, H3N4_T, H1N1_T",950
"806","c408","H3N4_T","H1N3_T","H4N2_T","H2N1_T","P(c408 | G=T)=1/576","H3N4_T, H1N3_T, H4N2_T, H2N1_T",951
"1142","c549","H4N4_T","H1N3_T","H2N1_T","H3N2_T","P(c549 | G=T)=1/576","H4N4_T, H1N3_T, H2N1_T, H3N2_T",952
"213","c177","H2N1_T","H4N4_T","H1N2_T","H3N3_T","P(c177 | G=T)=1/576","H2N1_T, H4N4_T, H1N2_T, H3N3_T",953
"954","c473","H4N2_T","H1N3_T","H2N1_T","H3N4_T","P(c473 | G=T)=1/576","H4N2_T, H1N3_T, H2N1_T, H3N4_T",954
"1004","c493","H4N2_T","H3N1_T","H1N3_T","H2N4_T","P(c493 | G=T)=1/576","H4N2_T, H3N1_T, H1N3_T, H2N4_T",955
"444","c27","H1N1_T","H4N2_T","H3N3_T","H2N4_T","P(c27 | G=T)=1/576","H1N1_T, H4N2_T, H3N3_T, H2N4_T",956
"1015","c498","H4N2_T","H3N3_T","H1N4_T","H2N1_T","P(c498 | G=T)=1/576","H4N2_T, H3N3_T, H1N4_T, H2N1_T",957
"456","c275","H2N4_T","H3N3_T","H4N1_T","H1N2_T","P(c275 | G=T)=1/576","H2N4_T, H3N3_T, H4N1_T, H1N2_T",958
"1256","c71","H1N2_T","H4N4_T","H3N1_T","H2N3_T","P(c71 | G=T)=1/576","H1N2_T, H4N4_T, H3N1_T, H2N3_T",959
"730","c378","H3N3_T","H2N2_T","H1N4_T","H4N1_T","P(c378 | G=T)=1/576","H3N3_T, H2N2_T, H1N4_T, H4N1_T",960
"93","c132","H1N4_T","H3N3_T","H4N2_T","H2N1_T","P(c132 | G=T)=1/576","H1N4_T, H3N3_T, H4N2_T, H2N1_T",961
"439","c266","H2N4_T","H3N1_T","H1N3_T","H4N2_T","P(c266 | G=T)=1/576","H2N4_T, H3N1_T, H1N3_T, H4N2_T",962
"1048","c511","H4N3_T","H1N2_T","H3N1_T","H2N4_T","P(c511 | G=T)=1/576","H4N3_T, H1N2_T, H3N1_T, H2N4_T",963
"916","c457","H4N1_T","H3N2_T","H1N3_T","H2N4_T","P(c457 | G=T)=1/576","H4N1_T, H3N2_T, H1N3_T, H2N4_T",964
"446","c27","H1N1_T","H4N2_T","H3N3_T","H2N4_T","P(c27 | G=T)=1/576","H1N1_T, H4N2_T, H3N3_T, H2N4_T",965
"790","c40","H1N2_T","H2N1_T","H4N4_T","H3N3_T","P(c40 | G=T)=1/576","H1N2_T, H2N1_T, H4N4_T, H3N3_T",966
"745","c382","H3N3_T","H2N4_T","H1N2_T","H4N1_T","P(c382 | G=T)=1/576","H3N3_T, H2N4_T, H1N2_T, H4N1_T",967
"94","c132","H1N4_T","H3N3_T","H4N2_T","H2N1_T","P(c132 | G=T)=1/576","H1N4_T, H3N3_T, H4N2_T, H2N1_T",968
"637","c342","H3N2_T","H2N3_T","H1N4_T","H4N1_T","P(c342 | G=T)=1/576","H3N2_T, H2N3_T, H1N4_T, H4N1_T",969
"256","c191","H2N2_T","H1N4_T","H4N1_T","H3N3_T","P(c191 | G=T)=1/576","H2N2_T, H1N4_T, H4N1_T, H3N3_T",970
"1211","c576","H4N4_T","H3N3_T","H2N2_T","H1N1_T","P(c576 | G=T)=1/576","H4N4_T, H3N3_T, H2N2_T, H1N1_T",971
"810","c409","H3N4_T","H2N1_T","H1N2_T","H4N3_T","P(c409 | G=T)=1/576","H3N4_T, H2N1_T, H1N2_T, H4N3_T",972
"280","c2","H1N1_T","H2N2_T","H3N4_T","H4N3_T","P(c2 | G=T)=1/576","H1N1_T, H2N2_T, H3N4_T, H4N3_T",973
"891","c444","H4N1_T","H1N4_T","H3N3_T","H2N2_T","P(c444 | G=T)=1/576","H4N1_T, H1N4_T, H3N3_T, H2N2_T",974
"51","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",975
"785","c398","H3N4_T","H1N1_T","H2N3_T","H4N2_T","P(c398 | G=T)=1/576","H3N4_T, H1N1_T, H2N3_T, H4N2_T",976
"862","c432","H3N4_T","H4N3_T","H2N2_T","H1N1_T","P(c432 | G=T)=1/576","H3N4_T, H4N3_T, H2N2_T, H1N1_T",977
"102","c138","H1N4_T","H4N2_T","H2N3_T","H3N1_T","P(c138 | G=T)=1/576","H1N4_T, H4N2_T, H2N3_T, H3N1_T",978
"1143","c549","H4N4_T","H1N3_T","H2N1_T","H3N2_T","P(c549 | G=T)=1/576","H4N4_T, H1N3_T, H2N1_T, H3N2_T",979
"626","c337","H3N2_T","H2N1_T","H1N3_T","H4N4_T","P(c337 | G=T)=1/576","H3N2_T, H2N1_T, H1N3_T, H4N4_T",980
"929","c461","H4N1_T","H3N3_T","H1N2_T","H2N4_T","P(c461 | G=T)=1/576","H4N1_T, H3N3_T, H1N2_T, H2N4_T",981
"1115","c539","H4N3_T","H3N4_T","H2N1_T","H1N2_T","P(c539 | G=T)=1/576","H4N3_T, H3N4_T, H2N1_T, H1N2_T",982
"903","c45","H1N2_T","H2N4_T","H3N1_T","H4N3_T","P(c45 | G=T)=1/576","H1N2_T, H2N4_T, H3N1_T, H4N3_T",983
"750","c383","H3N3_T","H2N4_T","H4N1_T","H1N2_T","P(c383 | G=T)=1/576","H3N3_T, H2N4_T, H4N1_T, H1N2_T",984
"1192","c569","H4N4_T","H3N2_T","H1N1_T","H2N3_T","P(c569 | G=T)=1/576","H4N4_T, H3N2_T, H1N1_T, H2N3_T",985
"123","c146","H2N1_T","H1N2_T","H3N4_T","H4N3_T","P(c146 | G=T)=1/576","H2N1_T, H1N2_T, H3N4_T, H4N3_T",986
"352","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",987
"1186","c568","H4N4_T","H3N1_T","H2N3_T","H1N2_T","P(c568 | G=T)=1/576","H4N4_T, H3N1_T, H2N3_T, H1N2_T",988
"1275","c77","H1N3_T","H2N2_T","H3N1_T","H4N4_T","P(c77 | G=T)=1/576","H1N3_T, H2N2_T, H3N1_T, H4N4_T",989
"12","c102","H1N3_T","H4N2_T","H2N4_T","H3N1_T","P(c102 | G=T)=1/576","H1N3_T, H4N2_T, H2N4_T, H3N1_T",990
"468","c279","H2N4_T","H4N1_T","H3N2_T","H1N3_T","P(c279 | G=T)=1/576","H2N4_T, H4N1_T, H3N2_T, H1N3_T",991
"704","c367","H3N3_T","H1N2_T","H4N1_T","H2N4_T","P(c367 | G=T)=1/576","H3N3_T, H1N2_T, H4N1_T, H2N4_T",992
"1189","c569","H4N4_T","H3N2_T","H1N1_T","H2N3_T","P(c569 | G=T)=1/576","H4N4_T, H3N2_T, H1N1_T, H2N3_T",993
"1214","c58","H1N2_T","H3N4_T","H2N3_T","H4N1_T","P(c58 | G=T)=1/576","H1N2_T, H3N4_T, H2N3_T, H4N1_T",994
"791","c400","H3N4_T","H1N1_T","H4N3_T","H2N2_T","P(c400 | G=T)=1/576","H3N4_T, H1N1_T, H4N3_T, H2N2_T",995
"4","c1","H1N1_T","H2N2_T","H3N3_T","H4N4_T","P(c1 | G=T)=1/576","H1N1_T, H2N2_T, H3N3_T, H4N4_T",996
"886","c443","H4N1_T","H1N4_T","H3N2_T","H2N3_T","P(c443 | G=T)=1/576","H4N1_T, H1N4_T, H3N2_T, H2N3_T",997
"241","c185","H2N2_T","H1N3_T","H3N1_T","H4N4_T","P(c185 | G=T)=1/576","H2N2_T, H1N3_T, H3N1_T, H4N4_T",998
"1150","c552","H4N4_T","H1N3_T","H3N2_T","H2N1_T","P(c552 | G=T)=1/576","H4N4_T, H1N3_T, H3N2_T, H2N1_T",999
"40","c113","H1N4_T","H2N2_T","H3N1_T","H4N3_T","P(c113 | G=T)=1/576","H1N4_T, H2N2_T, H3N1_T, H4N3_T",1000
"985","c483","H4N2_T","H2N1_T","H3N3_T","H1N4_T","P(c483 | G=T)=1/576","H4N2_T, H2N1_T, H3N3_T, H1N4_T",1001
"474","c281","H2N4_T","H4N2_T","H1N1_T","H3N3_T","P(c281 | G=T)=1/576","H2N4_T, H4N2_T, H1N1_T, H3N3_T",1002
"1237","c64","H1N2_T","H4N1_T","H3N4_T","H2N3_T","P(c64 | G=T)=1/576","H1N2_T, H4N1_T, H3N4_T, H2N3_T",1003
"292","c203","H2N2_T","H3N4_T","H4N1_T","H1N3_T","P(c203 | G=T)=1/576","H2N2_T, H3N4_T, H4N1_T, H1N3_T",1004
"876","c439","H4N1_T","H1N3_T","H3N2_T","H2N4_T","P(c439 | G=T)=1/576","H4N1_T, H1N3_T, H3N2_T, H2N4_T",1005
"339","c225","H2N3_T","H1N4_T","H3N1_T","H4N2_T","P(c225 | G=T)=1/576","H2N3_T, H1N4_T, H3N1_T, H4N2_T",1006
"431","c263","H2N4_T","H1N3_T","H4N1_T","H3N2_T","P(c263 | G=T)=1/576","H2N4_T, H1N3_T, H4N1_T, H3N2_T",1007
"1229","c62","H1N2_T","H4N1_T","H2N4_T","H3N3_T","P(c62 | G=T)=1/576","H1N2_T, H4N1_T, H2N4_T, H3N3_T",1008
"1156","c555","H4N4_T","H2N1_T","H3N2_T","H1N3_T","P(c555 | G=T)=1/576","H4N4_T, H2N1_T, H3N2_T, H1N3_T",1009
"1197","c570","H4N4_T","H3N2_T","H1N3_T","H2N1_T","P(c570 | G=T)=1/576","H4N4_T, H3N2_T, H1N3_T, H2N1_T",1010
"367","c233","H2N3_T","H3N2_T","H1N1_T","H4N4_T","P(c233 | G=T)=1/576","H2N3_T, H3N2_T, H1N1_T, H4N4_T",1011
"1024","c500","H4N2_T","H3N3_T","H2N4_T","H1N1_T","P(c500 | G=T)=1/576","H4N2_T, H3N3_T, H2N4_T, H1N1_T",1012
"715","c37","H1N2_T","H2N1_T","H3N3_T","H4N4_T","P(c37 | G=T)=1/576","H1N2_T, H2N1_T, H3N3_T, H4N4_T",1013
"775","c395","H3N3_T","H4N4_T","H2N1_T","H1N2_T","P(c395 | G=T)=1/576","H3N3_T, H4N4_T, H2N1_T, H1N2_T",1014
"784","c397","H3N4_T","H1N1_T","H2N2_T","H4N3_T","P(c397 | G=T)=1/576","H3N4_T, H1N1_T, H2N2_T, H4N3_T",1015
"235","c181","H2N2_T","H1N1_T","H3N3_T","H4N4_T","P(c181 | G=T)=1/576","H2N2_T, H1N1_T, H3N3_T, H4N4_T",1016
"706","c368","H3N3_T","H1N2_T","H4N4_T","H2N1_T","P(c368 | G=T)=1/576","H3N3_T, H1N2_T, H4N4_T, H2N1_T",1017
"717","c370","H3N3_T","H1N4_T","H2N2_T","H4N1_T","P(c370 | G=T)=1/576","H3N3_T, H1N4_T, H2N2_T, H4N1_T",1018
"482","c284","H2N4_T","H4N2_T","H3N3_T","H1N1_T","P(c284 | G=T)=1/576","H2N4_T, H4N2_T, H3N3_T, H1N1_T",1019
"1009","c494","H4N2_T","H3N1_T","H1N4_T","H2N3_T","P(c494 | G=T)=1/576","H4N2_T, H3N1_T, H1N4_T, H2N3_T",1020
"1291","c84","H1N3_T","H2N4_T","H4N2_T","H3N1_T","P(c84 | G=T)=1/576","H1N3_T, H2N4_T, H4N2_T, H3N1_T",1021
"392","c243","H2N3_T","H4N1_T","H3N2_T","H1N4_T","P(c243 | G=T)=1/576","H2N3_T, H4N1_T, H3N2_T, H1N4_T",1022
"53","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",1023
"1175","c564","H4N4_T","H2N3_T","H3N2_T","H1N1_T","P(c564 | G=T)=1/576","H4N4_T, H2N3_T, H3N2_T, H1N1_T",1024
"486","c286","H2N4_T","H4N3_T","H1N2_T","H3N1_T","P(c286 | G=T)=1/576","H2N4_T, H4N3_T, H1N2_T, H3N1_T",1025
"321","c216","H2N2_T","H4N4_T","H3N3_T","H1N1_T","P(c216 | G=T)=1/576","H2N2_T, H4N4_T, H3N3_T, H1N1_T",1026
"1001","c490","H4N2_T","H2N4_T","H1N3_T","H3N1_T","P(c490 | G=T)=1/576","H4N2_T, H2N4_T, H1N3_T, H3N1_T",1027
"794","c400","H3N4_T","H1N1_T","H4N3_T","H2N2_T","P(c400 | G=T)=1/576","H3N4_T, H1N1_T, H4N3_T, H2N2_T",1028
"302","c207","H2N2_T","H4N1_T","H3N3_T","H1N4_T","P(c207 | G=T)=1/576","H2N2_T, H4N1_T, H3N3_T, H1N4_T",1029
"319","c216","H2N2_T","H4N4_T","H3N3_T","H1N1_T","P(c216 | G=T)=1/576","H2N2_T, H4N4_T, H3N3_T, H1N1_T",1030
"36","c111","H1N4_T","H2N1_T","H4N2_T","H3N3_T","P(c111 | G=T)=1/576","H1N4_T, H2N1_T, H4N2_T, H3N3_T",1031
"904","c451","H4N1_T","H2N3_T","H3N2_T","H1N4_T","P(c451 | G=T)=1/576","H4N1_T, H2N3_T, H3N2_T, H1N4_T",1032
"282","c2","H1N1_T","H2N2_T","H3N4_T","H4N3_T","P(c2 | G=T)=1/576","H1N1_T, H2N2_T, H3N4_T, H4N3_T",1033
"1110","c537","H4N3_T","H3N4_T","H1N1_T","H2N2_T","P(c537 | G=T)=1/576","H4N3_T, H3N4_T, H1N1_T, H2N2_T",1034
"786","c398","H3N4_T","H1N1_T","H2N3_T","H4N2_T","P(c398 | G=T)=1/576","H3N4_T, H1N1_T, H2N3_T, H4N2_T",1035
"125","c146","H2N1_T","H1N2_T","H3N4_T","H4N3_T","P(c146 | G=T)=1/576","H2N1_T, H1N2_T, H3N4_T, H4N3_T",1036
"757","c384","H3N3_T","H2N4_T","H4N2_T","H1N1_T","P(c384 | G=T)=1/576","H3N3_T, H2N4_T, H4N2_T, H1N1_T",1037
"457","c275","H2N4_T","H3N3_T","H4N1_T","H1N2_T","P(c275 | G=T)=1/576","H2N4_T, H3N3_T, H4N1_T, H1N2_T",1038
"1066","c522","H4N3_T","H2N2_T","H1N4_T","H3N1_T","P(c522 | G=T)=1/576","H4N3_T, H2N2_T, H1N4_T, H3N1_T",1039
"209","c176","H2N1_T","H4N3_T","H3N4_T","H1N2_T","P(c176 | G=T)=1/576","H2N1_T, H4N3_T, H3N4_T, H1N2_T",1040
"1102","c535","H4N3_T","H3N2_T","H2N1_T","H1N4_T","P(c535 | G=T)=1/576","H4N3_T, H3N2_T, H2N1_T, H1N4_T",1041
"144","c151","H2N1_T","H1N3_T","H4N2_T","H3N4_T","P(c151 | G=T)=1/576","H2N1_T, H1N3_T, H4N2_T, H3N4_T",1042
"419","c256","H2N4_T","H1N1_T","H4N3_T","H3N2_T","P(c256 | G=T)=1/576","H2N4_T, H1N1_T, H4N3_T, H3N2_T",1043
"807","c408","H3N4_T","H1N3_T","H4N2_T","H2N1_T","P(c408 | G=T)=1/576","H3N4_T, H1N3_T, H4N2_T, H2N1_T",1044
"1064","c521","H4N3_T","H2N2_T","H1N1_T","H3N4_T","P(c521 | G=T)=1/576","H4N3_T, H2N2_T, H1N1_T, H3N4_T",1045
"526","c296","H3N1_T","H1N3_T","H4N4_T","H2N2_T","P(c296 | G=T)=1/576","H3N1_T, H1N3_T, H4N4_T, H2N2_T",1046
"491","c289","H3N1_T","H1N2_T","H2N3_T","H4N4_T","P(c289 | G=T)=1/576","H3N1_T, H1N2_T, H2N3_T, H4N4_T",1047
"495","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",1048
"117","c144","H1N4_T","H4N3_T","H3N2_T","H2N1_T","P(c144 | G=T)=1/576","H1N4_T, H4N3_T, H3N2_T, H2N1_T",1049
"911","c455","H4N1_T","H2N4_T","H3N2_T","H1N3_T","P(c455 | G=T)=1/576","H4N1_T, H2N4_T, H3N2_T, H1N3_T",1050
"49","c115","H1N4_T","H2N2_T","H4N1_T","H3N3_T","P(c115 | G=T)=1/576","H1N4_T, H2N2_T, H4N1_T, H3N3_T",1051
"1039","c508","H4N3_T","H1N1_T","H3N4_T","H2N2_T","P(c508 | G=T)=1/576","H4N3_T, H1N1_T, H3N4_T, H2N2_T",1052
